提供元案件番号,委託元,業界,PJフェーズ,モジュール,SAP案件,単価,募集人数,開始日,終了日,勤務地,案件概要,必須要件,歓迎要件,言語力,メインポジション,商流
要確認,要確認,運輸業界,要確認,S4HC,〇,170-230万円,2,即日,2024/10/31,丸の内or神谷町,"• 運輸業界の日系大手企業へのS4HCの導入支援（テストチーム）
• Fit to Standardアプローチを採用し、S/4HANA Public Cloudを導入
• S/4HANAでフォローできない機能は、外部システムに切り出し、S/4外で実装
• サービスイン時期：25年4月予定
• 元請けの役割：PJT全体推進、テスト・移行等のシステム横断領域のリード、S/4HANAの導入、外部システム開発要件定義、I/F要件定義
• 外部システムの開発は他ベンダーにて実施
• 勤務地：出社/リモート（週3以上は出社、勤務先は丸の内or神谷町）
• 期間：ASAP～2024/10/31（以降延長の可能性あり）
• 稼働率：100％
• 単価：170-230万円（スキル見合い）
• 年齢：40代まで
• 弊社2次受け案件
• 面談回数1～2回
• 就業時間は9時～18時
• 月間想定工数：160時間（フルタイム）",・テストチーム、テストフェーズのリード経験
・管理だけでなく、自身で手を動かすことができること
・テスト実行しているチームと自身でコミュニケーションを取り、PJTを前進させることができること,・SAP(S/4であれば尚良い)のテスト経験、リード経験,日本語,テストチームメンバー,2次請け
要確認,要確認,運輸業界,要確認,S4HC,〇,150-200万円,1,即日,2024/10/31,丸の内or神谷町,"• 運輸業界の日系大手企業へのS4HCの導入支援（In-Appチーム）
• Fit to Standardアプローチを採用し、S/4HANA Public Cloudを導入
• S/4HANAでフォローできない機能は、外部システムに切り出し、S/4外で実装
• サービスイン時期：25年4月予定
• 元請けの役割：PJT全体推進、テスト・移行等のシステム横断領域のリード、S/4HANAの導入、外部システム開発要件定義、I/F要件定義
• 外部システムの開発は他ベンダーにて実施
• 勤務地：出社/リモート（週3以上は出社、勤務先は丸の内or神谷町）
• 期間：ASAP～2024/10/31（以降延長の可能性あり）
• 稼働率：100％
• 単価：150-200万円（スキル見合い）
• 年齢：40代まで
• 弊社2次受け案件
• 面談回数1～2回
• 就業時間は9時～18時
• 月間想定工数：160時間（フルタイム）",・ABAPでのコーディングの経験、もしくはスキルがあり対応可能なこと,"・S/4でのABAPコーディング経験があり、制約などに関する知見があること
・2,3案件、5年程度のABAPでのコーディング経験があること",日本語,In-Appチームメンバー,2次請け
要確認,要確認,運輸業界,要確認,S4HC,〇,170-230万円,1,即日,2024/10/31,丸の内or神谷町,"• 運輸業界の日系大手企業へのS4HCの導入支援（制度会計チーム）
• Fit to Standardアプローチを採用し、S/4HANA Public Cloudを導入
• S/4HANAでフォローできない機能は、外部システムに切り出し、S/4外で実装
• サービスイン時期：25年4月予定
• 元請けの役割：PJT全体推進、テスト・移行等のシステム横断領域のリード、S/4HANAの導入、外部システム開発要件定義、I/F要件定義
• 外部システムの開発は他ベンダーにて実施
• 勤務地：出社/リモート（週3以上は出社、勤務先は丸の内or神谷町）
• 期間：ASAP～2024/10/31（以降延長の可能性あり）
• 稼働率：100％
• 単価：170-230万円（スキル見合い）
• 年齢：40代まで
• 弊社2次受け案件
• 面談回数1～2回
• 就業時間は9時～18時
• 月間想定工数：160時間（フルタイム）",・FI領域に関する経験・知見
・自身で手を動かすことができること,・要件定義、移行・テストなど一連のフェーズでの経験,日本語,制度会計チームメンバー,2次請け
要確認,要確認,運輸業界,要確認,S4HC,〇,170-230万円,1,即日,2024/10/31,丸の内or神谷町,"• 運輸業界の日系大手企業へのS4HCの導入支援（財務取引管理チーム）
• Fit to Standardアプローチを採用し、S/4HANA Public Cloudを導入
• S/4HANAでフォローできない機能は、外部システムに切り出し、S/4外で実装
• サービスイン時期：25年4月予定
• 元請けの役割：PJT全体推進、テスト・移行等のシステム横断領域のリード、S/4HANAの導入、外部システム開発要件定義、I/F要件定義
• 外部システムの開発は他ベンダーにて実施
• 勤務地：出社/リモート（週3以上は出社、勤務先は丸の内or神谷町）
• 期間：ASAP～2024/10/31（以降延長の可能性あり）
• 稼働率：100％
• 単価：170-230万円（スキル見合い）
• 年齢：40代まで
• 弊社2次受け案件
• 面談回数1～2回
• 就業時間は9時～18時
• 月間想定工数：160時間（フルタイム）",・TRM領域に関する経験・知見
・自身で手を動かすことができること,"・S/4でのTRM領域の経験があり、S/4での制約に関する知見
・要件定義、移行・テストなど一連のフェーズでの経験",日本語,財務取引管理チームメンバー,2次請け
