提供元案件番号,委託元,業界,PJフェーズ,モジュール,SAP案件,単価,募集人数,開始日,終了日,勤務地,案件概要,必須要件,歓迎要件,言語力,メインポジション,商流
RR-00039061,PwC,食品,要確認,SAP SD,〇,要確認,1,ASAP,2025/08/30,"東京都渋谷区、愛知県名古屋市、半田市"," 日本＋アジア事業の基幹システム刷新（S/4導入及び周辺システム改修）
 システム導入における設計、開発、テスト、CM、PMO、移行、インフラ設計支援
 テスト開発チームメンバーとしてテスト進捗を収集/集計し、資料化
 月間想定工数160時間（FTE 1.0）
 東京都渋谷区での作業
 クライアントMtgで愛知県名古屋市、半田市への出張の可能性あり"," SAPのテスト工程での進捗を収集/集計し資料化した経験
 計数管理に強みがあること",記載なし,不要,テスト担当,要確認
RR-00039261,PwC,食品,要確認,SAP移行,〇,要確認,1,ASAP,2025/08/30,"東京都渋谷区、愛知県名古屋市、半田市"," 日本＋アジア事業の基幹システム刷新（S/4導入及び周辺システム改修）
 システム導入における設計、開発、テスト、CM、PMO、移行、インフラ設計支援
 移行チームメンバーとして業務支援
 月間想定工数160時間（FTE 1.0）
 東京都渋谷区での作業
 クライアントMtgで愛知県名古屋市、半田市への出張の可能性あり",SAPの移行領域経験者,記載なし,不要,移行担当,要確認
RR-00039261,PwC,食品,要確認,SAP移行,〇,要確認,1,ASAP,2025/08/30,"東京都渋谷区、愛知県名古屋市、半田市"," 日本＋アジア事業の基幹システム刷新（S/4導入及び周辺システム改修）
 システム導入における設計、開発、テスト、CM、PMO、移行、インフラ設計支援
 移行チームメンバーとして業務支援
 月間想定工数160時間（FTE 1.0）
 東京都渋谷区での作業
 クライアントMtgで愛知県名古屋市、半田市への出張の可能性あり",SAPの移行リード経験者,記載なし,不要,移行リーダー,要確認
RR-00040381,PwC,食品,要確認,SAP CO,〇,要確認,1,ASAP,2025/08/31,東京都千代田区," 日本＋アジア事業の基幹システム刷新（S/4導入及び周辺システム改修）
 システム導入における設計、開発、テスト、CM、PMO、移行、インフラ設計支援
 S/4導入原価計算領域の担当として、テスト、移行、課題対応を実施
 月間想定工数160時間（FTE 1.0）
 原則リモート
 東京都千代田区での勤務、クライアントMtgで愛知県名古屋市、半田市への出張の可能性あり",SAP CO領域の経験,原価計算の知識、SAP原価計算の経験,不要,原価計算担当,要確認
RR-00040892,PwC,輸送機器製造,要確認,SAP SD,〇,要確認,1,2024/09/01,2025/04/30,"リモート、東京都千代田区、静岡県磐田市"," 販売物流テンプレート日本導入領域における業務支援
 販売物流の販売(SD)担当
 クライアントとのセッション、資料準備
 月間想定工数160時間（FTE 1.0）
 基本自宅（リモート）/東京都千代田区/静岡県磐田市での作業"," SAP導入プロジェクト経験（SD領域）
 コアコンスキル(ドキュメンテーション/ファシリテーション)",記載なし,不要,SD担当,要確認
RR-00040893,PwC,輸送機器製造,要確認,SAP SD,〇,要確認,1,2024/09/01,2025/04/30,"リモート、東京都千代田区、静岡県磐田市"," 販売物流テンプレート日本導入領域における業務支援
 販売物流の販売(SD)担当
 クライアントとのセッション、資料準備
 月間想定工数160時間（FTE 1.0）
 基本自宅（リモート）/東京都千代田区/静岡県磐田市での作業"," SAP導入プロジェクト経験（SD領域）
 コアコンスキル(ドキュメンテーション/ファシリテーション)",記載なし,不要,SD担当,要確認
RR-00040895,PwC,輸送機器製造,要確認,SAP MM,〇,要確認,1,2024/09/01,2025/04/30,"リモート、東京都千代田区、静岡県磐田市"," 販売物流テンプレート日本導入領域における業務支援
 販売物流の販売(MM)担当
 クライアントとのセッション、資料準備
 月間想定工数160時間（FTE 1.0）
 基本自宅（リモート）/東京都千代田区/静岡県磐田市での作業"," SAP導入プロジェクト経験（MM領域）
 コアコンスキル(ドキュメンテーション/ファシリテーション)",記載なし,不要,MM担当,要確認
RR-00040896,PwC,輸送機器製造,要確認,SAP MM,〇,要確認,1,2024/09/01,2025/04/30,"リモート、東京都千代田区、静岡県磐田市"," 販売物流テンプレート日本導入領域における業務支援
 販売物流の販売(MM)担当
 クライアントとのセッション、資料準備
 月間想定工数160時間（FTE 1.0）
 基本自宅（リモート）/東京都千代田区/静岡県磐田市での作業"," SAP導入プロジェクト経験（MM領域）
 コアコンスキル(ドキュメンテーション/ファシリテーション)",記載なし,不要,MM担当,要確認
RR-00040911,PwC,輸送機器製造,要確認,SAP FI,〇,要確認,1,2024/09/01,2025/04/30,"リモート、東京都千代田区、静岡県磐田市"," 販売物流テンプレート日本導入領域における業務支援
 会計(FI)担当
 クライアントとのセッション、資料準備
 月間想定工数160時間（FTE 1.0）
 基本自宅（リモート）/東京都千代田区/静岡県磐田市での作業"," SAP導入プロジェクト経験（FI領域）
 コアコンスキル(ドキュメンテーション/ファシリテーション)",記載なし,不要,FI担当,要確認
RR-00040795,PwC,電機機器,要確認,SAP MM,〇,要確認,1,2024/08/01,2026/03/31,東京都千代田区," クライアントの国内直材調達システム（P2P）刷新において国内50の事業体へのS/4 HANA MM導入を推進中
 事業体への説明およびS/4適用のためのF2S実行を行うための準備を進める
 プロジェクトメンバとしてBU展開の業務側支援
 月間想定工数160時間（FTE 1.0）
 クライアントオフィス(東京都千代田区) or リモートでの作業"," 自走して思考してタスク推進できる方
 調達業務知見
 SAP MM知見",記載なし,不要,MM担当,要確認
