提供元案件番号,委託元,業界,PJフェーズ,モジュール,SAP案件,単価,募集人数,開始日,終了日,勤務地,案件概要,必須要件,歓迎要件,言語力,メインポジション
AF-251,TSC,家庭品/化粧品,コンサルタントフェーズ、SEフェーズ,CO,○,要確認,1-2か月,即日,要確認,TSC(カチド キビル)、在宅勤務、プロジェクトによりオンサイト,CO領域の各プロジェクトへの技術支援,・CO（原価周り：CO-PC）領域における標準機能、カスタマイズの理解（特に品目元帳）<br>・ABAP開発経験<br>・日本語ビジネスレベル,・CO系SAP Certification<br>・PSモジュールのご経験<br>・英語ビジネスレベル,日本語,コンサルタント
AE-235,Accenture,大手エネルギー業界,運用保守フェーズ,QM,○,要確認,1-2か月,即日,要確認,リモートワーク/在宅勤務,QM運用保守,・QMモジュールの経験・知見(少なくとも1年以上のQMに携わった経験あれば望ましい)<br>・QM以外のSAPモジュールにて、上流工程の経験(複数案件のご経験),"・SD,MM,PP,EWMなど、いずれかのロジ系の経験<br>・英語読み書き<br>・日本語レベルがビジネスレベル以上",日本語、英語,Middle～Senior
AC-162,Accenture,-,-,-,○,-,1-2か月,即日,要確認,リモートワーク/在宅勤務、プロジェクトサイト(必要時),-,-,-,-,-
AE-46,Accenture Internal,-,要件定義フェーズ,Ariba、MM,○,-,1-2か月,即日,2週間,-,SAP Ariba/MM領域の要件定義関連作業,・SAP Ariba Strategic Sourcing、Buying and Invoicing、Supply Chain Collaboration、Cloud Integration Gateway(CIG)標準機能に精通<br>・ビジネスレベルの日本語<br>・英語,・MM系SAP Certification<br>・S2C、P2P上流からの業務・データの流れとシステム設定に精通<br>・SAP Ariba/MM基本設計(データモデルに精通)<br>・CIG導入経験<br>・ABAP開発経験<br>・S/4 HANA導入経験,日本語、英語,Middle～Senior
AB-162,Accenture Internal,-,要件定義フェーズ,FI-GL/AP/AR/AA,○,-,1-2か月,即日,要確認,リモート(遠隔地対応)、在宅勤務(WFH)、プロジェクトサイト(必要時),FI-GL/AP/AR/AA領域の要件定義関連作業,・FI-GL/AR/GL/AA SAP標準機能に精通<br>・FI-GL/AR/GL/AA カスタマイジングに精通,・FI系SAP Certification<br>・OTC、P2P等上流からの業務・データの流れとシステム設定(自動仕訳等)に精通<br>・FI-GL/AR/AP/AA基本設計(データモデルに精通)<br>・FI拡張モジュール(TRM/CM、与信管理)導入経験<br>・ABAP開発経験<br>・S/4 HANA導入経験<br>・Fiori使用経験,日本語、英語,Junior～Middle
AB-262,電力,電力,移行フェーズ,FI,○,-,-,即日,2024/6/30,江東区/木場(週3回出社あり),SAP S/4HANA 会計移行,SAP会計領域におけるデータ移行経験、SAPマスタ構築、改修経験,電力事業案件の経験(会計領域が望ましい),日本語,Middle～
AB-263,電力,電力,設計フェーズ,FI,○,-,-,即日,2024/6/30,江東区/木場(週3回出社あり),SAP S/4HANA 会計領域設計,SAP S/4HANA FIモジュール標準機能の理解、基本設計書作成経験(日本語),電力事業案件の経験(会計領域が望ましい),日本語,Middle～
AF-261,電力,電力,-,FI-AA,○,160万円,1,即日,2024/6/30,福岡/薬院(週3回出社あり),SAP導入案件 固定資産領域における税務プロセスの要件定義から実装,不動産関連の税務処理プロセスの知識、要件定義の経験、FI-AAのカスタマイズ,-,日本語,Senior
AE271,-,通信・ハイテク業界,保守フェーズ,FI、CO,○,100万円,1,6月,要確認,みなとみらい(週3日出社),SAP FI/COの保守作業,・管理会計(CO)の各サブモジュール、業務要件の把握・とりまとめ、設計・設定・カスタマイズ、テスト<br>・プロジェクト管理(PS)の理解と実装経験<br>・ジョブ管理ソフト運用経験<br>・経理部門におけるSAP(CO)の操作経験<br>・コミュニケーション力,・ABAP開発スキル<br>・JAVA理解<br>・RPA等自動化経験<br>・英語,日本語,Middle～High
AE272,-,通信・ハイテク業界,保守フェーズ,FI、CO,○,100万円,1,6月,-,みなとみらい(週3日出社),SAP FI/COの保守作業,・財務会計(FI)の各サブモジュール、業務要件の把握・とりまとめ、設計・設定・カスタマイズ、テスト<br>・ジョブ管理ソフト運用経験<br>・経理部門におけるSAP(FI)の操作経験<br>・会計に関する業務知識(簿記)<br>・コミュニケーション力,・FIモジュールと他モジュールの連携機能に関する知識<br>・システム導入、移行経験<br>・ABAP開発スキル<br>・JAVA理解<br>・RPA等自動化経験<br>・英語,日本語,Middle～High
AF-270,大手メーカー,-,-,Power Automate,-,90万円,2,即日,要確認,リモート(今後汐留・赤坂への出社可能性あり),D365の新規導入及びグローバルロールアウトプロジェクトにおける、Microsoft PowerAutomateの環境構築支援,・Power Automateの環境構築、インストール経験<br>・クラウドフローの設計構築,・Azureの経験<br>・D365 FOとの接続経験,-,Senior～
AF-269,大手メーカー,-,-,Dynamics365,-,90万円,2,即日,要確認,リモート(今後汐留・赤坂への出社可能性あり),D365の導入、ロールアウトプロジェクトにおける、障害対応、テスト後のエラー修正、改修業務,・Dinamics365の導入経験(要件定義～リリース)<br>・会計もしくはロジ物流の業務知識<br>・X++でのアプリ基本設計経験(開発尚可),-,-,Senior～
